  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0001   0.00541   0.00115   0.0000   0.6875   0.6875
   0.100   0.0107   0.00541   0.00115   0.0001   0.6770   0.6975
   0.200   0.0215   0.00542   0.00115   0.0003   0.6669   0.7077
   0.300   0.0322   0.00542   0.00115   0.0004   0.6564   0.7176
   0.400   0.0429   0.00543   0.00116   0.0006   0.6463   0.7274
   0.500   0.0536   0.00544   0.00116   0.0007   0.6360   0.7373
   0.700   0.0751   0.00546   0.00118   0.0010   0.6149   0.7570
   0.800   0.0858   0.00547   0.00119   0.0011   0.6040   0.7666
   0.900   0.0966   0.00549   0.00120   0.0013   0.5931   0.7760
   1.000   0.1073   0.00550   0.00122   0.0014   0.5828   0.7853
   1.100   0.1180   0.00552   0.00123   0.0016   0.5727   0.7943
   1.200   0.1288   0.00554   0.00125   0.0017   0.5622   0.8030
   1.300   0.1395   0.00557   0.00127   0.0019   0.5514   0.8121
   1.400   0.1502   0.00560   0.00129   0.0020   0.5400   0.8207
   1.500   0.1608   0.00563   0.00131   0.0022   0.5290   0.8288
   1.600   0.1716   0.00566   0.00133   0.0023   0.5180   0.8368
   1.700   0.1823   0.00570   0.00136   0.0025   0.5074   0.8451
   1.800   0.1929   0.00573   0.00138   0.0027   0.4965   0.8530
   1.900   0.2035   0.00578   0.00141   0.0028   0.4858   0.8604
   2.000   0.2142   0.00582   0.00144   0.0030   0.4750   0.8682
   2.100   0.2248   0.00587   0.00147   0.0032   0.4639   0.8752
   2.300   0.2460   0.00596   0.00153   0.0035   0.4424   0.8888
   2.400   0.2566   0.00602   0.00157   0.0037   0.4313   0.8949
   2.500   0.2672   0.00608   0.00160   0.0039   0.4200   0.9015
   2.600   0.2777   0.00614   0.00164   0.0041   0.4086   0.9071
   2.700   0.2883   0.00620   0.00168   0.0043   0.3975   0.9131
   2.800   0.2987   0.00627   0.00172   0.0045   0.3861   0.9185
   2.900   0.3093   0.00634   0.00176   0.0047   0.3757   0.9240
   3.000   0.3197   0.00641   0.00180   0.0049   0.3648   0.9291
   3.100   0.3303   0.00648   0.00185   0.0051   0.3542   0.9340
   3.200   0.3407   0.00656   0.00189   0.0053   0.3431   0.9388
   3.300   0.3512   0.00664   0.00194   0.0055   0.3317   0.9432
   3.400   0.3617   0.00672   0.00199   0.0057   0.3207   0.9477
   3.500   0.3724   0.00681   0.00204   0.0058   0.3091   0.9515
   3.600   0.3828   0.00690   0.00209   0.0060   0.2985   0.9559
   3.700   0.3939   0.00700   0.00215   0.0060   0.2869   0.9591
   3.800   0.4047   0.00709   0.00220   0.0062   0.2762   0.9628
   3.900   0.4158   0.00719   0.00226   0.0062   0.2653   0.9660
   4.000   0.4273   0.00729   0.00232   0.0061   0.2544   0.9688
   4.100   0.4384   0.00740   0.00238   0.0061   0.2434   0.9719
   4.200   0.4508   0.00751   0.00245   0.0059   0.2323   0.9740
   4.300   0.4626   0.00762   0.00251   0.0057   0.2214   0.9765
   4.400   0.4752   0.00774   0.00258   0.0054   0.2104   0.9783
   4.500   0.4878   0.00785   0.00265   0.0051   0.2000   0.9802
   4.600   0.5009   0.00798   0.00273   0.0046   0.1892   0.9817
   4.700   0.5139   0.00810   0.00281   0.0042   0.1789   0.9833
   4.800   0.5275   0.00823   0.00289   0.0036   0.1686   0.9843
   4.900   0.5408   0.00836   0.00297   0.0031   0.1590   0.9857
   5.000   0.5550   0.00849   0.00305   0.0024   0.1493   0.9863
   5.100   0.5690   0.00862   0.00314   0.0017   0.1405   0.9871
   5.200   0.5826   0.00875   0.00323   0.0012   0.1323   0.9882
   5.300   0.5966   0.00888   0.00331   0.0005   0.1244   0.9889
   5.400   0.6106   0.00900   0.00340  -0.0002   0.1172   0.9897
   5.500   0.6242   0.00912   0.00349  -0.0008   0.1104   0.9907
   5.600   0.6381   0.00926   0.00359  -0.0014   0.1036   0.9914
   5.700   0.6521   0.00939   0.00368  -0.0021   0.0972   0.9921
   5.800   0.6656   0.00951   0.00377  -0.0027   0.0917   0.9931
   5.900   0.6797   0.00964   0.00387  -0.0034   0.0864   0.9937
   6.000   0.6936   0.00976   0.00396  -0.0040   0.0817   0.9944
   6.100   0.7072   0.00989   0.00407  -0.0046   0.0775   0.9952
   6.200   0.7211   0.01001   0.00417  -0.0053   0.0733   0.9958
   6.300   0.7350   0.01013   0.00427  -0.0059   0.0697   0.9964
   6.400   0.7487   0.01026   0.00437  -0.0065   0.0661   0.9971
   6.500   0.7627   0.01038   0.00448  -0.0072   0.0630   0.9977
   6.600   0.7765   0.01050   0.00458  -0.0078   0.0600   0.9983
   6.700   0.7902   0.01064   0.00470  -0.0085   0.0573   0.9989
   6.800   0.8041   0.01075   0.00480  -0.0091   0.0549   0.9994
   6.900   0.8177   0.01091   0.00493  -0.0097   0.0524   0.9999
   7.000   0.8270   0.01099   0.00502  -0.0094   0.0509   1.0000
   7.100   0.8355   0.01109   0.00512  -0.0089   0.0493   1.0000
   7.200   0.8437   0.01121   0.00523  -0.0083   0.0477   1.0000
   7.300   0.8520   0.01133   0.00534  -0.0078   0.0464   1.0000
   7.400   0.8605   0.01142   0.00544  -0.0073   0.0452   1.0000
   7.500   0.8688   0.01153   0.00554  -0.0068   0.0439   1.0000
   7.600   0.8769   0.01167   0.00567  -0.0062   0.0426   1.0000
   7.700   0.8852   0.01179   0.00579  -0.0056   0.0415   1.0000
   7.800   0.8938   0.01188   0.00589  -0.0051   0.0405   1.0000
   7.900   0.9021   0.01200   0.00600  -0.0046   0.0395   1.0000
   8.000   0.9103   0.01213   0.00613  -0.0041   0.0385   1.0000
   8.100   0.9183   0.01229   0.00628  -0.0035   0.0375   1.0000
   8.200   0.9270   0.01239   0.00639  -0.0030   0.0367   1.0000
   8.300   0.9355   0.01250   0.00651  -0.0025   0.0359   1.0000
   8.400   0.9439   0.01262   0.00663  -0.0020   0.0351   1.0000
   8.500   0.9520   0.01279   0.00678  -0.0014   0.0342   1.0000
   8.600   0.9601   0.01295   0.00695  -0.0009   0.0335   1.0000
   8.700   0.9689   0.01305   0.00707  -0.0004   0.0329   1.0000
   8.800   0.9775   0.01317   0.00720   0.0000   0.0322   1.0000
   8.900   0.9861   0.01331   0.00734   0.0005   0.0316   1.0000
   9.000   0.9944   0.01346   0.00749   0.0010   0.0310   1.0000
   9.100   1.0023   0.01366   0.00768   0.0015   0.0304   1.0000
   9.200   1.0108   0.01381   0.00785   0.0020   0.0298   1.0000
   9.300   1.0196   0.01393   0.00798   0.0025   0.0293   1.0000
   9.400   1.0283   0.01406   0.00812   0.0029   0.0288   1.0000
   9.500   1.0370   0.01420   0.00827   0.0033   0.0283   1.0000
   9.600   1.0456   0.01436   0.00843   0.0037   0.0278   1.0000
   9.700   1.0537   0.01457   0.00863   0.0042   0.0272   1.0000
   9.800   1.0617   0.01479   0.00886   0.0047   0.0268   1.0000
   9.900   1.0708   0.01492   0.00901   0.0051   0.0264   1.0000
  10.000   1.0797   0.01507   0.00917   0.0055   0.0260   1.0000
  10.100   1.0885   0.01522   0.00934   0.0058   0.0256   1.0000
  10.200   1.0974   0.01538   0.00951   0.0062   0.0252   1.0000
  10.300   1.1060   0.01556   0.00969   0.0066   0.0248   1.0000
  10.400   1.1144   0.01577   0.00990   0.0070   0.0244   1.0000
  10.500   1.1220   0.01605   0.01019   0.0075   0.0240   1.0000
  10.600   1.1304   0.01626   0.01042   0.0079   0.0237   1.0000
  10.700   1.1394   0.01641   0.01059   0.0082   0.0234   1.0000
  10.800   1.1483   0.01658   0.01078   0.0085   0.0231   1.0000
  10.900   1.1571   0.01675   0.01097   0.0089   0.0227   1.0000
  11.000   1.1657   0.01694   0.01116   0.0092   0.0224   1.0000
  11.100   1.1742   0.01713   0.01137   0.0096   0.0221   1.0000
  11.200   1.1825   0.01735   0.01159   0.0099   0.0218   1.0000
  11.300   1.1900   0.01763   0.01187   0.0104   0.0215   1.0000
  11.400   1.1965   0.01799   0.01225   0.0110   0.0212   1.0000
  11.500   1.2053   0.01816   0.01244   0.0114   0.0210   1.0000
  11.600   1.2137   0.01835   0.01267   0.0117   0.0207   1.0000
  11.700   1.2219   0.01856   0.01289   0.0121   0.0205   1.0000
  11.800   1.2300   0.01877   0.01313   0.0125   0.0202   1.0000
  11.900   1.2381   0.01899   0.01337   0.0129   0.0200   1.0000
  12.000   1.2460   0.01921   0.01360   0.0133   0.0198   1.0000
  12.100   1.2537   0.01945   0.01385   0.0137   0.0195   1.0000
  12.200   1.2611   0.01970   0.01411   0.0142   0.0193   1.0000
  12.300   1.2679   0.01999   0.01442   0.0147   0.0191   1.0000
  12.400   1.2737   0.02036   0.01479   0.0154   0.0189   1.0000
  12.500   1.2787   0.02078   0.01523   0.0161   0.0187   1.0000
  12.600   1.2865   0.02098   0.01547   0.0165   0.0185   1.0000
  12.700   1.2938   0.02121   0.01573   0.0170   0.0183   1.0000
  12.800   1.3008   0.02146   0.01601   0.0175   0.0181   1.0000
  12.900   1.3074   0.02173   0.01631   0.0180   0.0180   1.0000
  13.000   1.3135   0.02200   0.01660   0.0186   0.0178   1.0000
  13.100   1.3188   0.02228   0.01691   0.0194   0.0176   1.0000
  13.200   1.3239   0.02257   0.01722   0.0202   0.0175   1.0000
  13.300   1.3287   0.02287   0.01754   0.0209   0.0173   1.0000
  13.400   1.3336   0.02317   0.01786   0.0217   0.0172   1.0000
  13.500   1.3379   0.02352   0.01823   0.0225   0.0170   1.0000
  13.600   1.3417   0.02390   0.01862   0.0233   0.0169   1.0000
  13.700   1.3449   0.02432   0.01907   0.0241   0.0168   1.0000
  13.800   1.3469   0.02484   0.01960   0.0250   0.0166   1.0000
  13.900   1.3477   0.02544   0.02023   0.0260   0.0165   1.0000
  14.000   1.3487   0.02605   0.02087   0.0268   0.0164   1.0000
  14.100   1.3535   0.02643   0.02130   0.0274   0.0163   1.0000
  14.200   1.3574   0.02688   0.02178   0.0279   0.0162   1.0000
  14.300   1.3612   0.02735   0.02229   0.0284   0.0161   1.0000
  14.400   1.3647   0.02785   0.02283   0.0289   0.0160   1.0000
