  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7003-085-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1867   0.00513   0.00087  -0.0378   0.6097   0.7385
   0.200   0.2081   0.00513   0.00090  -0.0375   0.5886   0.7703
   0.300   0.2188   0.00514   0.00091  -0.0373   0.5790   0.7834
   0.400   0.2295   0.00515   0.00092  -0.0371   0.5688   0.7965
   0.500   0.2402   0.00516   0.00093  -0.0369   0.5587   0.8105
   0.600   0.2508   0.00519   0.00095  -0.0368   0.5481   0.8214
   0.800   0.2718   0.00521   0.00098  -0.0363   0.5287   0.8477
   0.900   0.2821   0.00523   0.00100  -0.0360   0.5179   0.8598
   1.000   0.2924   0.00525   0.00101  -0.0358   0.5074   0.8717
   1.100   0.3026   0.00527   0.00103  -0.0355   0.4983   0.8841
   1.200   0.3127   0.00529   0.00105  -0.0351   0.4895   0.8953
   1.300   0.3225   0.00531   0.00107  -0.0347   0.4797   0.9090
   1.400   0.3324   0.00533   0.00108  -0.0343   0.4701   0.9200
   1.500   0.3422   0.00536   0.00110  -0.0339   0.4614   0.9318
   1.600   0.3521   0.00538   0.00111  -0.0336   0.4517   0.9451
   1.700   0.3632   0.00541   0.00112  -0.0334   0.4411   0.9582
   1.800   0.3764   0.00546   0.00113  -0.0338   0.4293   0.9714
   1.900   0.3917   0.00550   0.00114  -0.0347   0.4192   0.9851
   2.000   0.4068   0.00556   0.00115  -0.0356   0.4092   1.0000
   2.100   0.4179   0.00562   0.00117  -0.0355   0.4006   1.0000
   2.200   0.4289   0.00569   0.00120  -0.0355   0.3912   1.0000
   2.300   0.4400   0.00575   0.00123  -0.0355   0.3820   1.0000
   2.400   0.4512   0.00581   0.00126  -0.0354   0.3747   1.0000
   2.500   0.4622   0.00589   0.00129  -0.0354   0.3643   1.0000
   2.600   0.4733   0.00595   0.00132  -0.0354   0.3557   1.0000
   2.700   0.4844   0.00602   0.00135  -0.0354   0.3476   1.0000
   2.800   0.4954   0.00610   0.00138  -0.0353   0.3384   1.0000
   2.900   0.5064   0.00617   0.00142  -0.0353   0.3292   1.0000
   3.000   0.5175   0.00624   0.00146  -0.0353   0.3208   1.0000
   3.100   0.5286   0.00632   0.00150  -0.0352   0.3122   1.0000
   3.200   0.5396   0.00639   0.00154  -0.0352   0.3048   1.0000
   3.300   0.5507   0.00647   0.00158  -0.0352   0.2957   1.0000
   3.400   0.5617   0.00655   0.00162  -0.0351   0.2878   1.0000
   3.600   0.5837   0.00671   0.00172  -0.0351   0.2718   1.0000
   3.700   0.5947   0.00679   0.00177  -0.0350   0.2647   1.0000
   3.800   0.6057   0.00687   0.00182  -0.0350   0.2566   1.0000
   3.900   0.6167   0.00696   0.00187  -0.0350   0.2473   1.0000
   4.000   0.6277   0.00704   0.00193  -0.0349   0.2415   1.0000
   4.100   0.6386   0.00713   0.00198  -0.0349   0.2336   1.0000
   4.200   0.6497   0.00721   0.00204  -0.0348   0.2273   1.0000
   4.300   0.6606   0.00731   0.00210  -0.0348   0.2192   1.0000
   4.400   0.6715   0.00739   0.00217  -0.0348   0.2117   1.0000
   4.500   0.6825   0.00749   0.00223  -0.0347   0.2048   1.0000
   4.600   0.6934   0.00759   0.00229  -0.0347   0.1977   1.0000
   4.700   0.7043   0.00768   0.00236  -0.0346   0.1913   1.0000
   4.800   0.7152   0.00779   0.00243  -0.0346   0.1843   1.0000
   4.900   0.7262   0.00786   0.00250  -0.0345   0.1790   1.0000
   5.000   0.7371   0.00797   0.00257  -0.0345   0.1732   1.0000
   5.100   0.7480   0.00805   0.00265  -0.0345   0.1679   1.0000
   5.200   0.7588   0.00816   0.00273  -0.0344   0.1616   1.0000
   5.300   0.7697   0.00825   0.00280  -0.0344   0.1566   1.0000
   5.400   0.7806   0.00836   0.00289  -0.0343   0.1508   1.0000
   5.500   0.7914   0.00846   0.00297  -0.0343   0.1445   1.0000
   5.600   0.8021   0.00859   0.00306  -0.0342   0.1383   1.0000
   5.700   0.8130   0.00868   0.00314  -0.0341   0.1329   1.0000
   5.900   0.8345   0.00892   0.00333  -0.0340   0.1205   1.0000
   6.000   0.8450   0.00907   0.00343  -0.0340   0.1144   1.0000
