  
       XFOIL         Version 6.99
  
 Calculated polar for: ppar 200                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.500     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.6362   0.02097   0.01390  -0.1047   0.6699   1.0000
   1.000   0.7905   0.02049   0.01274  -0.1046   0.5941   1.0000
   2.000   0.9097   0.02174   0.01331  -0.1001   0.4979   1.0000
   3.000   0.9933   0.02463   0.01624  -0.0928   0.4500   1.0000
   4.000   1.0853   0.02877   0.02030  -0.0872   0.4104   1.0000
   5.000   1.0954   0.03685   0.02877  -0.0749   0.3810   1.0000
   6.000   1.0786   0.04777   0.04002  -0.0656   0.3416   1.0000
   7.000   1.0338   0.06584   0.05820  -0.0605   0.2975   1.0000
   8.000   0.9919   0.08656   0.07916  -0.0654   0.2755   1.0000
   9.000   0.9525   0.10756   0.10037  -0.0709   0.2462   1.0000
  10.000   0.9908   0.11753   0.11052  -0.0691   0.2138   1.0000
  11.000   0.9675   0.14225   0.13531  -0.0740   0.1961   1.0000
  12.000   0.9758   0.15798   0.15121  -0.0824   0.1837   1.0000
  13.000   1.0110   0.16443   0.15786  -0.0853   0.1301   1.0000
  14.000   1.0454   0.17346   0.16700  -0.0878   0.0663   1.0000
  15.000   1.0339   0.19952   0.19297  -0.0977   0.0467   1.0000
  16.000   1.0179   0.23224   0.22571  -0.1081   0.0432   1.0000
  17.000   1.0133   0.26111   0.25462  -0.1144   0.0456   1.0000
  18.000   0.9906   0.29408   0.28781  -0.1200   0.0811   1.0000
  19.000   0.9106   0.30015   0.29415  -0.1117   0.0869   1.0000
  20.000   0.8681   0.30286   0.29703  -0.1081   0.0840   1.0000
  21.000   0.8504   0.30790   0.30221  -0.1065   0.0784   1.0000
  22.000   0.8712   0.33484   0.32922  -0.1052   0.0736   1.0000
  23.000   0.8330   0.32754   0.32204  -0.1064   0.0728   1.0000
  24.000   0.8176   0.32832   0.32291  -0.1110   0.0600   1.0000
  25.000   0.8323   0.34596   0.34057  -0.1097   0.0488   1.0000
  26.000   0.8127   0.34225   0.33698  -0.1154   0.0437   1.0000
  27.000   0.8133   0.34934   0.34430  -0.1184   0.0310   1.0000
  28.000   0.8186   0.36331   0.35833  -0.1180   0.0243   1.0000
  29.000   0.8107   0.36384   0.35899  -0.1238   0.0220   1.0000
  30.000   0.8124   0.37281   0.36809  -0.1280   0.0176   1.0000
  31.000   0.8127   0.38016   0.37556  -0.1313   0.0147   1.0000
  32.000   0.8123   0.38627   0.38177  -0.1337   0.0129   1.0000
  33.000   0.8121   0.39737   0.39293  -0.1359   0.0121   1.0000
  34.000   0.8093   0.40457   0.40032  -0.1399   0.0120   1.0000
  35.000   0.8070   0.41214   0.40803  -0.1440   0.0119   1.0000
  36.000   0.8047   0.41983   0.41588  -0.1482   0.0118   1.0000
  37.000   0.8021   0.42754   0.42375  -0.1524   0.0117   1.0000
  38.000   0.7991   0.43522   0.43159  -0.1566   0.0117   1.0000
  39.000   0.7956   0.44286   0.43944  -0.1609   0.0117   1.0000
  40.000   0.7916   0.45039   0.44714  -0.1653   0.0116   1.0000
  41.000   0.7870   0.45778   0.45470  -0.1697   0.0116   1.0000
  42.000   0.7818   0.46503   0.46211  -0.1742   0.0116   1.0000
  43.000   0.7759   0.47212   0.46940  -0.1787   0.0116   1.0000
  44.000   0.7694   0.47908   0.47651  -0.1832   0.0116   1.0000
  45.000   0.7622   0.48589   0.48348  -0.1878   0.0116   1.0000
  46.000   0.7544   0.49251   0.49026  -0.1924   0.0116   1.0000
  47.000   0.7459   0.49902   0.49691  -0.1971   0.0116   1.0000
  48.000   0.7369   0.50547   0.50351  -0.2018   0.0116   1.0000
  49.000   0.7278   0.51260   0.51084  -0.2069   0.0113   1.0000
  50.000   0.7190   0.52151   0.51983  -0.2116   0.0107   1.0000
  51.000   0.7090   0.53011   0.52850  -0.2158   0.0102   1.0000
  52.000   0.6981   0.53796   0.53643  -0.2199   0.0099   1.0000
  53.000   0.6864   0.54544   0.54399  -0.2241   0.0097   1.0000
  54.000   0.6742   0.55264   0.55133  -0.2283   0.0096   1.0000
  55.000   0.6613   0.55963   0.55839  -0.2325   0.0095   1.0000
  56.000   0.6479   0.56633   0.56516  -0.2367   0.0095   1.0000
  57.000   0.6340   0.57285   0.57175  -0.2409   0.0094   1.0000
  58.000   0.6195   0.57907   0.57804  -0.2451   0.0094   1.0000
  59.000   0.6045   0.58515   0.58419  -0.2494   0.0093   1.0000
  60.000   0.5890   0.59103   0.59014  -0.2536   0.0093   1.0000
